Dedalo Centro Studi S.R.L.
Giorno	FocTond Sfilat Ciab	Krapfen	Brioches	Pizza Margherita	Focaccia Farcita	Focaccia	Cornetto G
1							
2							
3							
4							
5							
6							
7							
8	20	14	10	12	3	18	
9	10	10	7	12	3	18	
10	10	9		12	3	18	7
11		10	7	12	3	18	
12		10	7	12	3	18	
13							
14							
15	20	11	9	12	3	18	
16	10	11	9	12	3	18	
17	10	10	8	12		18	
18		10	8	12		12	
19	14	11	8	12		12	
20							
21							
22	20	5	14	12	3	12	
23	16	11	7	12	3	12	
24	16	12	8	12	2	12	
25	20	12	8	12	2	18	
26	20	12	8	12	2	12	
27							
28							
29							
30							
31							

	186	158	118	180	33	234	7
