Forneria Cav. Remo Zilioli di Zilioli B. & C. S.N.C.
Giorno	Inka Kamut Dinkel Segale	Expo	Pane di Grano Duro	Pane	Grano Duro	Pane Duro	Pandoro	Panini Speciali
1								
2								
3				6,520				
4	0,280			6,040				0,960
5	4,040		1,640	10,300				
6								
7								
8			1,060	9,020				
9				9,000				
10	1,240		1,020	10,060				
11			1,000	9,040				
12			1,040	9,020				
13			1,040	10,040				
14								
15				47,580	1,020		21,520	
16			1,040	9,020				
17			1,040	9,060				
18			1,000	9,040				
19			1,040	9,380	1,060			
20	6,480		1,060	9,540				
21								
22			1,020	9,060				
23				9,040		1,060		
24	1,300			9,040	1,040			
25			1,060	9,040				
26			1,080	10,380				
27	5,320	1,320	1,060	9,920				
28								
29								
30								
31								

	18,660	1,320	16,200	229,140	3,120	1,060	21,520	0,960
