La Grande Mela
Giorno	Pane	Pane di Grano Duro	Grano Duro	Pane Duro
1				
2				
3	3,520	0,700	2,000	
4	4,560	2,540		
5	4,000	2,540		
6				
7				
8	5,620	2,060		
9	3,040	2,540		
10	3,020	2,520		
11	3,000	2,560		
12	5,540	2,540		
13	3,840	3,000		
14				
15	3,020		2,560	
16	3,020	2,520		
17	3,040	2,560		
18	3,020			2,520
19	4,020		2,540	
20	4,500	2,520		
21				
22	3,000	2,540		
23	3,020			2,520
24	4,020			2,540
25	3,020	2,580		
26	4,000		2,560	
27	4,040	2,060		
28				
29				
30				
31				

	77,860	35,780	9,660	7,580
