Market Cefalonia S.R.L.
Giorno	Pane di Grano Duro	Pane	Grano Duro	Pane Duro	Chiacchiere di Armando	Inka Kamut Dinkel Segale	Salatini Pizzette Sfoglia	Hotdog	Arabo Grande	Integrali Piccoli	Cereali	Integrali	Ciabatte	Tartarughe	Grano Duro Piccolo
1															
2			7,340					4,520			0,500	1,500	2,520	1,540	3,020
3			8,500										10,640	4,060	3,280
4		25,100													
5	13,600	17,880													
6															
7															
8	15,960	4,000									3,540	2,540			
9	22,040	4,020			2,000										
10		4,020		21,460											
11		4,060	14,160					4,560			0,540	2,540			
12	11,540	4,040						4,520	3,000	2,540	0,520				
13	28,640	3,980													
14															
15		4,260	22,620		4,000										
16		25,340													
17	4,520	4,080					18,060								
18		4,160		26,220											
19		4,220	4,520	17,540											
20	29,200	4,000			1,000	6,460									
21															
22	24,020	3,960													
23	11,120	4,060		10,500											
24		8,140	17,220												
25	17,000	8,600													
26		4,000	19,300												
27	15,520	16,640													
28															
29															
30															
31															

	193,160	158,560	93,660	75,720	7,000	6,460	18,060	13,600	3,000	2,540	5,100	6,580	13,160	5,600	6,300
