Norma S.R.L.
Giorno	Hambuger Speciali	Grissini	Hamburger	Pane	Arabo Grande	Arabo Piccolo	Lievito Madre	Inka Kamut Dinkel Segale	Pan Grattato	Toast
1										
2		0,940		2,020						
3		1,000		1,000						
4										
5	10		10	5,040						
6										
7										
8		3,000		5,020						
9				2,000						
10		2,000		4,080						
11	10	1,000	10	1,020						
12	10	2,020								1,440
13	15	3,000	15	5,060				0,520	4,000	
14										
15		1,020	10							
16										
17		3,020		2,040			5,000			
18				2,040						
19	10	3,020	20							
20		2,020	10	3,060	1,120	1,200				
21										
22										
23		2,040		2,000						
24		2,020		2,020						
25		2,020								
26	10	2,000	20							
27										
28										
29										
30										
31										

	65	30,120	95	36,400	1,120	1,200	5,000	0,520	4,000	1,440
