The Pit Stop di Lorenzo Pagnoni
Giorno	Pane	Pancarre	Brioches	Pizza Margherita	Inka Kamut Dinkel Segale	Focaccia	Toast	Hamburger
1								
2								
3								
4								
5								
6								
7								
8	2,040			6		6		10
9	2,020						0,780	
10	2,020			6		6		
11	2,020	0,880						
12	2,040			6		6		10
13	2,080							
14								
15	2,020			6		3		10
16	2,040							
17	2,060							
18	2,000							
19	2,000	0,840		6	0,400			
20	2,700		5	6			0,480	10
21								
22	2,020	0,820		6		6		
23	2,060		11			6		
24	2,080				1,300			
25	2,000		5	6	1,180			
26	2,020	0,800	6	6				
27	2,020							
28								
29								
30								
31								

	37,240	3,340	27	54	2,880	33	1,260	40
