macelleria 
Giorno	Pane di Grano Duro	Inka Kamut Dinkel Segale	Grano Duro	Pane Duro	Hambuger Speciali	Pane	Hamburger
1							
2							
3							
4							
5							
6							
7							
8							
9							
10							
11							
12							
13							
14							
15							
16	1,540	1,240				0,500	
17							
18							
19		0,660				1,040	
20		0,620				1,060	10
21							
22	1,680				15		
23	1,060	0,600			14		
24		0,620		1,540			
25	1,520	0,640					
26		0,640	1,520				
27	1,520	0,640					
28							
29							
30							
31							

	7,320	5,660	1,520	1,540	29	2,600	10
