Norma S.R.L.
Giorno	Pane	Grissini	Hambuger Speciali	Hamburger	Arabo Grande	Arabo Piccolo	Lievito Madre	Inka Kamut Dinkel Segale	Pan Grattato	Toast
1										
2	2,020	0,940								
3	1,000	1,000								
4										
5	5,040		10	10						
6										
7										
8	5,020	3,000								
9	2,000									
10	4,080	2,000								
11	1,020	1,000	10	10						
12		2,020	10							1,440
13	5,060	3,000	15	15				0,520	4,000	
14										
15		1,020		10						
16										
17	2,040	3,020					5,000			
18	2,040									
19		3,020	10	20						
20	3,060	2,020		10	1,120	1,200				
21										
22										
23	2,000	2,040								
24	2,020	2,020								
25		2,020								
26		2,000	10	20						
27	3,000	3,000								
28										
29										
30	2,000	2,040								
31	2,000	1,040								

	43,400	36,200	65	95	1,120	1,200	5,000	0,520	4,000	1,440
