Nuovo Ateneo di Ivano Ferrari
Giorno	Focaccia	Focaccia Farcita	FocTond Sfilat Ciab	Pizza Margherita	Brioches	Hamburger	Pizza Farcita	Cornetto G
1								
2								
3	2		12	3				10
4								8
5	3			6	8			
6								
7								
8	6			6				12
9	6		10	6	12			
10	3			3	11			
11	3		10	3	10	5		
12	2			2				12
13	4			6	10			
14								
15	4		10	4	14			
16	4		10	4	12			
17	2			4	12			
18	3	2		3	12			
19	3		10	3	12			
20			10		10			
21								
22	3	3		3				
23	3	3	10	6	12	5		
24	4			5			3	
25	3	3	10	6	12			
26			10		12			
27	3		10	3	10	5		
28								
29	3	3	10	6	12			
30								
31	3	3	10	3	12			

	67	17	132	85	193	15	3	42
