P.M. di Gregorelli O. & P. S.N.C.
Giorno	Pane	Fondo Pizza	Chiacchiere di Armando	Focaccia	Base Pizza Pomodoro	Pan Grattato	Ciabatte	Integrali	Arabo Grande	Arabo Piccolo	Hotdog	Tartarughe	Sfoglie
1													
2													
3					12		2,020	1,500	1,520	0,760	1,720	1,280	1,220
4	10,000												
5	16,100			2	6								
6													
7													
8	11,000				6								
9	10,800			2	6								
10	11,000			1	6								
11	11,540	6		1									
12	7,520					3,000							
13	14,020				6								
14													
15	11,040				6								
16	11,020				6								
17	12,000		2,020	2									
18	12,020			2	12								
19	11,580	6											
20	14,400	6	2,000	1									
21													
22	11,520												
23	11,520	6											
24	11,380	6		2									
25	11,340	6		2									
26	11,240	12	2,080										
27	13,420												
28													
29													
30													
31													

	234,460	48	6,100	15	66	3,000	2,020	1,500	1,520	0,760	1,720	1,280	1,220
