The Pit Stop di Lorenzo Pagnoni
Giorno	Inka Kamut Dinkel Segale	Brioches	Hamburger	Pane	Pizza Margherita	Toast	Pancarre	Focaccia
1								
2								
3								
4								
5								
6								
7								
8			10	2,040	6			6
9				2,020		0,780		
10				2,020	6			6
11				2,020			0,880	
12			10	2,040	6			6
13				2,080				
14								
15			10	2,020	6			3
16				2,040				
17				2,060				
18				2,000				
19	0,400			2,000	6		0,840	
20		5	10	2,700	6	0,480		
21								
22				2,020	6		0,820	6
23		11		2,060				6
24	1,300			2,080				
25	1,180	5		2,000	6			
26		6		2,020	6		0,800	
27				2,020				
28								
29			10		6	0,700		
30								
31	0,520	5	12	2,100				

	3,400	32	62	39,340	60	1,960	3,340	33
