macelleria 
Giorno	Grissini	Inka Kamut Dinkel Segale	Pane	Pane di Grano Duro	Grano Duro	Pane Duro	Hambuger Speciali	Hamburger
1								
2								
3								
4								
5								
6								
7								
8								
9								
10								
11								
12								
13								
14								
15								
16		1,240	0,500	1,540				
17								
18								
19		0,660	1,040					
20		0,620	1,060					10
21								
22				1,680			15	
23		0,600		1,060			14	
24		0,620				1,540		
25		0,640		1,520				
26		0,640			1,520			
27		0,640		1,520				
28								
29		0,600	1,540					
30		0,640	1,500					
31	0,520	0,620	1,060					

	0,520	7,520	6,700	7,320	1,520	1,540	29	10
